#x_Size	 y_Size	 S_2
1	 1	 0.03309194
2	 1	 0.05540874
3	 1	 0.077379195
4	 1	 0.097711672
1	 2	 0.055192358
2	 2	 0.081900964
3	 2	 0.106205697
4	 2	 0.126396165
1	 3	 0.075556022
2	 3	 0.102777357
3	 3	 0.124597689
4	 3	 0.139812943
