#x_Size	 y_Size	 S_2
1	 1	 0.032807003
2	 1	 0.054667523
3	 1	 0.076396258
4	 1	 0.098104758
5	 1	 0.119561601
6	 1	 0.139481475
1	 2	 0.053199193
2	 2	 0.077111282
3	 2	 0.099152865
4	 2	 0.120832402
5	 2	 0.141894523
6	 2	 0.159661967
